Fastest way to create new array with length N and fill it by repeating a given array,['java.lang.System.arraycopy'],"['java.util.Arrays.fill', 'java.util.Arrays.copyOfRange', 'java.util.Collections.shuffle', 'java.util.Collections.nCopies', 'java.lang.System.arraycopy', 'java.util.Arrays.asList', 'java.util.Arrays.sort', 'java.util.List.toArray', 'java.nio.ByteBuffer.put', 'java.util.ArrayList.add']",5,4
Java string align to right,['java.lang.String.format'],"['javax.swing.AbstractButton.setVerticalAlignment', 'javax.swing.JLabel.setHorizontalAlignment', 'javax.swing.AbstractButton.setHorizontalAlignment', 'javax.swing.JLabel.setHorizontalTextPosition', 'javax.swing.AbstractButton.setHorizontalTextPosition', 'javax.swing.Scrollable.getScrollableTracksViewportWidth', 'java.lang.String.format', 'javax.swing.AbstractButton.setVerticalTextPosition', 'java.lang.String.split', 'java.awt.Window.setLocationRelativeTo']",7,6
Remove all non alphabetic characters from a String array in java,['java.lang.String.replaceAll'],"['java.lang.String.indexOf', 'java.lang.String.trim', 'java.lang.String.toCharArray', 'java.lang.String.charAt', 'java.lang.StringBuilder.deleteCharAt', 'java.lang.String.valueOf', 'java.lang.String.replace', 'java.lang.String.replaceAll', 'java.util.Arrays.fill', 'java.lang.Character.isDigit']",8,7
How to get the current date and time of your timezone in Java,['java.util.TimeZone.getDefault'],"['java.util.Date.toString', 'java.util.Calendar.getInstance', 'java.time.Instant.now', 'java.time.ZonedDateTime.now', 'java.util.TimeZone.setDefault', 'java.time.LocalDate.now', 'java.time.LocalDateTime.now', 'java.util.TimeZone.getDefault', 'java.lang.System.currentTimeMillis', 'java.text.DateFormat.format']",8,6
How to instantiate inner class with reflection in Java,['java.lang.Class.getDeclaredConstructor'],"['java.lang.Class.newInstance', 'java.lang.reflect.Constructor.newInstance', 'java.lang.Class.forName', 'java.lang.Class.getConstructor', 'java.lang.Class.getDeclaredMethods', 'java.lang.Class.cast', 'java.lang.Class.getDeclaredConstructor', 'java.lang.reflect.Field.getType', 'java.lang.reflect.Method.invoke', 'java.lang.reflect.Field.get']",7,3
How to sort by two fields in Java,"['java.util.Collections.sort', 'java.lang.String.compareTo']","['java.util.Arrays.equals', 'java.util.Arrays.deepEquals', 'java.util.Collections.sort', 'java.util.Comparator.comparing', 'java.util.Arrays.sort', 'java.util.Comparator.comparingInt', 'java.lang.String.compareTo', 'java.util.Collections.reverse', 'java.lang.System.arraycopy', 'java.util.Arrays.copyOf']",3,1
Getting a list of accessible methods for a given class via reflection,"['java.lang.Class.getMethods', 'java.lang.Class.getDeclaredMethods']","['java.lang.reflect.Field.get', 'java.lang.Class.getDeclaredFields', 'java.lang.Class.forName', 'java.lang.Class.getDeclaredMethods', 'java.lang.reflect.Field.getType', 'java.lang.Class.cast', 'java.lang.reflect.Field.set', 'java.lang.reflect.Method.getGenericReturnType', 'java.lang.Class.getDeclaredMethod', 'java.lang.Class.getMethod']",4,3
How to loop over a Class attributes in Java,['java.lang.Class.getDeclaredFields'],"['java.util.List.iterator', 'java.util.List.listIterator', 'java.lang.Class.getDeclaredFields', 'java.lang.reflect.Field.getType', 'java.lang.Class.getFields', 'java.lang.Class.forName', 'java.lang.reflect.Field.get', 'java.util.Map.values', 'java.util.HashMap.values', 'java.util.HashMap.keySet']",3,1
Java parse a number in exponential notation,['java.lang.Double.valueOf'],"['java.math.BigDecimal.toEngineeringString', 'java.math.BigDecimal.toString', 'java.math.BigDecimal.toPlainString', 'java.lang.Integer.valueOf', 'java.lang.Double.valueOf', 'java.lang.Integer.parseInt', 'java.lang.Long.parseLong', 'java.lang.Math.pow', 'java.lang.String.format', 'java.lang.Double.toString']",5,2
How to sort file names in ascending order,"['java.util.Collections.sort', 'java.util.Arrays.sort']","['java.util.Collections.reverseOrder', 'java.util.Collections.sort', 'java.util.Arrays.sort', 'java.util.Collections.reverse', 'java.lang.String.compareTo', 'java.lang.Comparable.compareTo', 'java.lang.Integer.valueOf', 'java.util.stream.Collectors.toList', 'java.lang.System.arraycopy', 'java.util.stream.IntStream.collect']",2,1
