1,How to convert binary string value to decimal,Integer,,,
2,How can I use html styles in strings with format arguments,String,,,
3,Converting a sentence string to a string array of words in Java,String,,,
4,"How do I create a parent-last / child-first ClassLoader in Java, or How to override an old Xerces version that was already loaded in the parent CL",Class,,,
5,How to timeout a thread,Future,Thread,,
6,How to modify a Collection while iterating using for-each loop without ConcurrentModificationException,Iterator,,,
7,How to hide cursor in a Swing application,Toolkit,Cursor,,
8,How to generate a random permutation in Java,Collections,,,
9,Java generating Strings with placeholders,String,,,
10,Collect Linux command output,Process,,,
11,How to subtract X days from a date using Java calendar,Calendar,,,
12,How do I make my ArrayList Thread-Safe? Another approach to problem in Java,Collections,,,
13,First char to upper case,String,Character,,
14,Grouping elements of a list into sublists (maybe by using guava),Collectors,,,
15,Escaping special characters in Java Regular Expressions,Pattern,,,
16,How do I get localized date pattern string,SimpleDateFormat,DateTimeFormatter,,
17,Setting the default Java character encoding,String,Charset,,
199,Convert between LocalDate and sql.Date,Date,,,
19,Resolving ip-address of a hostname,InetAddress,,,
289,Run batch file from Java code,Runtime,,,
21,How to remove newlines from beginning and end of a string (Java),String,,,
22,How to reverse a list in Java,Collections,,,
23,Java Convert File to Byte Array and visa versa,Files,,,
24,How can I get a Unicode character's code,Character,,,
25,Java: How to test on array equality,Arrays,,,
54,How to sort file names in ascending order,Collections,Arrays,,
27,convert Object[] from a hashmap keyset to String[],Set,,,
28,Fastest way to create new array with length N and fill it by repeating a given array,System,,,
29,How to measure time taken by Java code,System,,,
30,Java string align to right,String,,,
31,How to split a comma-separated string,String,Arrays,,
32,toString java of arrays,Arrays,,,
33,How to find the exact word using a regex in Java,Matcher,,,
59,How to test a Class.forName call in Java code,Class,,,
35,Java reflection get all private fields,Field,,,
36,How to get the current date and time of your timezone in Java,TimeZone,,,
37,How can I get screen resolution in java,Toolkit,,,
38,Java: join array of primitives with separator,String,,,
39,How to instantiate inner class with reflection in Java,Class,,,
40,How to wrap text in a JTextArea,JTextArea,,,
41,How to convert Integer to int,Integer,,,
42,Grouping by List of Map in Java 8,Collectors,,,
43,How to sort by two fields in Java,Collections,String,,
44,Getting a list of accessible methods for a given class via reflection,Class,,,
45,How do I format a long integer as a string without separator in Java,Long,,,
46,How to get system time in Java without creating a new Date,System,Date,,
47,How to loop over a Class attributes in Java,Class,,,
48,Calculate whether an IP address is in a specified range in Java,InetAddress,,,
49,Comparing strings with == which are declared final in Java,String,,,
50,Java8 java.util.Date conversion to java.time.ZonedDateTime,ZonedDateTime,Date,,
51,How to see if an object is an array without using reflection,Arrays,Class,,
52,Elegant way to read file into byte[] array in Java,Files,,,
53,Java parse a number in exponential notation,Double,,,
26,How do I convert from int to String,Integer,,,
55,"How do you get the ""object reference"" of an object in java when toString() and hashCode() have been overridden",Object,System,,
56,How to count the number of 1's a number will have in binary,Integer,,,
57,How to get the current Time and TimeZone from Locale,TimeZone,Locale,,
58,How to use Scanner to accept only valid int as input,Scanner,,,
103,Instantiating an inner class,Class,,,
60,How to print the address of an object if you have redefined toString method,System,Object,,
61,How to get all possible values of an enum in java? (not knowing the specific Enum),Class,,,
62,Best way to exit a program when I want an exception to be thrown,System,,,
63,Double value to round up in Java,Double,,,
64,Make a negative number positive,Math,,,
65,Get string character by index - Java,Character,String,,
66,"How to use ""cd"" command using Java runtime",ProcessBuilder,Runtime,,
67,How to get the insert ID in JDBC,Statement,,,
68,How to scan a folder in Java,Files,File,,
69,How do I copy a 2 Dimensional array in Java,System,Arrays,,
70,Checking for a null int value from a Java ResultSet,ResultSet,,,
71,How to check if internet connection is present in java,InetAddress,URL,,
72,Replacing single '\' with '\\' in Java,String,,,
73,Add elements to a List while iterating over it. (Java),List,,,
74,Calling System.gc( ) explicitly,System,,,
75,Compare two arrays of primitives in Java,Arrays,,,
76,How can I get the current date and time in UTC or GMT in Java,Date,,,
77,How to name a variable that is a copy of a parameter,Arrays,,,
78,Garbage collector in Android,System,,,
79,Java 7 default locale,Locale,,,
80,Equals operator for zeros (BigDecimal / Double) in Java,BigDecimal,,,
81,java: How to fix the Unchecked cast warning,Class,,,
82,Removing range (tail) from a List,List,,,
83,How to convert a Binary String to a base 10 integer in Java,Integer,,,
84,How to get string value from a Java field via reflection,Field,,,
85,Concatenating null strings in Java,String,,,
86,Linking static library with JNI,System,,,
87,Round up BigDecimal to Integer value,BigDecimal,,,
88,How can I stop a Java while loop from eating >50% of my CPU,Thread,System,,
89,Convert Set to List without creating new List,List,,,
90,How to rotate text with Graphics2D in Java,Graphics2D,,,
91,Changing Java PriorityQueue to a Max PQ,Collections,,,
92,How can I abort a running JDBC transaction,Connection,Statement,,
93,How Object objects return Strings? (Java),Object,,,
94,"How to wait for all threads to finish, using ExecutorService",ExecutorService,,,
95,Calculate the display width of a string in Java,Graphics,FontMetrics,,
96,Initializing a boolean array to false,Arrays,,,
97,How to show full stack trace on eclipse,Throwable,,,
98,How to convert date format to milliseconds,Date,,,
99,How to find and stop all currently running threads,Thread,,,
100,How to Convert a Java 8 Stream to an Array,Stream,,,
101,How can I check if a single character appears in a string,String,,,
102,Java garbage collection,System,,,
34,Remove all non alphabetic characters from a String array in java,String,,,
104,Java ResultSet - get Column name based on Index,ResultSet,,,
105,Is there a way to instantiate a class by name in Java,Class,,,
106,Test if a string contains any of the strings from an array,String,,,
107,How to get file size in Java,File,,,
108,java hashmap key iteration,Map,,,
109,Java Fastest way to read through text file with 2 million lines,BufferedReader,,,
110,Merge 3 arraylist to one,Arrays,Stream,ArrayList,
111,How can I create a stream from an array,Arrays,Stream,,
112,initializing a boolean array in java,Arrays,Boolean,,
113,Get java.nio.file.Path object from java.io.File,File,,,
114,How to get concrete type of a generic interface,ParameterizedType,Class,,
115,Cast Object to Generic Type for returning,Class,,,
116,Combine stream of Collections into one Collection - Java 8,Stream,,,
117,Accessing non-visible classes with reflection,Class,,,
118,Precise time measurement in Java,System,,,
119,Comparing strings by their alphabetical order,String,,,
120,Java - How to format a number to a 2 char string,String,,,
121,Convert from Radians to Degrees in Java,Math,,,
122,Append relative URL to java.net.URL,URL,,,
123,Correct way to synchronize ArrayList in java,Collections,,,
124,How to find out which object currently has focus,Window,,,
125,How to convert BigDecimal to Double in Java,BigDecimal,,,
126,Java: splitting the filename into a base and extension,String,,,
127,How to add new System Properties in java,System,,,
128,LocalDate to java.util.Date and vice versa simplest conversion,Date,,,
129,Java: function for arrays like PHP's join(),String,,,
130,How can I find whitespace space in a String,String,,,
131,How can I measure the speed of code written in Java? (AI algorithms),System,,,
132,Set specific precision of a BigDecimal,BigDecimal,,,
133,how to check if string contains '+' character,String,,,
134,best way to reverse bytes in an int in java,Integer,Double,Float,
135,Programmatically determine which Java thread holds a lock,Thread,,,
136,Defensive copy of Calendar,Calendar,,,
137,Get MAC address on local machine with Java,NetworkInterface,,,
138,java escape parenthesis,Pattern,,,
139,Sorting int array in descending order,Collections,,,
140,How to get the name of a class without the package,Class,,,
141,How to initialize all the elements of an array to any specific value in java,Arrays,,,
142,Create intermediate folders if one doesn't exist,File,,,
143,Take a char input from the Scanner,Scanner,,,
144,how to find before and after sub-string in a string,String,,,
145,Check if class exists in Java classpath without running its static initializer,Class,,,
146,Java Round up Any Number,Math,,,
147,How do you kill a thread in Java,Thread,,,
148,How to split a string in Java,String,,,
149,How to clean up threadlocals,ThreadLocal,,,
150,Creating a draw rectangle (filled with black color) function in Java for a grid,Graphics,,,
151,Java - Splitting String based on multiple delimiters,String,,,
152,Ways to iterate over a List in java,List,,,
153,"How can one Java thread check the state of another one, e.g. whether the other one is blocked",Thread,,,
154,Alternative to successive String.replace,StringBuilder,String,,
155,Handling passwords used for auth in source code,JPasswordField,,,
156,How to capture System.exit event,Runtime,,,
157,How do I know if I'm on the event dispatch thread,Runnable,SwingWorker,SwingUtilities,
158,Splitting a string using Regex in Java,String,,,
159,Quickly square a double,Math,,,
160,Java: How can I access a class's field by a name stored in a variable,AccessibleObject,Class,Field,
161,How to find time taken to run java program,System,,,
162,Close one JFrame without closing another,JFrame,,,
163,How to add elements of a Java8 stream into an existing List,List,Collectors,ArrayList,Collector
164,Java how to instantiate a class from string,Constructor,Class,,
165,"Java, how to change current database to another",Connection,,,
166,How to Execute Windows Commands Using Java - Change Network Settings,Runtime,,,
167,How do you crash a JVM,System,,,
168,Getting A File's Mime Type In Java,Files,,,
169,Combine collect of list with single value using streams,Stream,,,
170,"How to use comparison operators like >, =, < on BigDecimal",BigDecimal,,,
171,Find the Biggest number in HashSet/HashMap java,HashMap,Collections,,
172,Sort ArrayList of custom Objects by property,Comparator,List,,
173,Efficiently finding the intersection of a variable number of sets of strings,Set,,,
174,How to stop a thread created by implementing runnable interface,Thread,,,
175,Making Thread sleep for random amount of MS,Thread,,,
176,instantiate class from class object,Class,,,
177,iterator for replacing list members in Java,List,ListIterator,,
178,Java reflection: get class of field,Field,,,
179,How do I measure time elapsed in Java,System,,,
180,Loading files with ClassLoader,Class,ClassLoader,,
181,How to generate random array of ints using Stream API Java 8,Random,,,
182,How to reuse application of filter & map on a Stream,Stream,,,
183,How to check if element exists using a lambda expression,Stream,,,
184,Stream from two dimensional array in java,Arrays,Stream,,
185,How to make a separated copy of an ArrayList,ArrayList,,,
186,How to subtract X day from a Date object  in Java,Calendar,,,
187,Instantiate a class object with constructor that accepts a string parameter,Class,,,
