1,How can I insert an element in array at a given position?,List,ArrayList,,,,,,,,
2,How do I compress or zip a directory recursively?,ZipOutputStream,ZipEntry,FileOutputStream,FileInputStream,,,,,,
266,Draw a transparent shape using a Graphics,BufferedImage,Area,Graphics2D,Stroke,BasicStroke,JLabel,JOptionPane,SwingUtilities,ImageIO,RenderingHints
4,How do I compress a file in GZip format?,GZipOutputStream,FileInputStream,FileOutputStream,,,,,,,
5,How do I use PriorityBlockingQueue class?,PriorityBlockingQueue,BlockingQueue,Comparable,,,,,,,
6,How do I parse a text string into date and time?,LocalDate,LocalTime,LocalDateTime,,,,,,,
7,How documents are represented in MongoDB Java Driver?,DBObject,BasicDBObject,LinkedHashMap,,,,,,,
8,How do I connect to a MongoDB Database?,MongoClient,ServerAddress,DBCollection,BasicDBObject,,,,,,
9,How do I send an HTML email?,Properties,Session,Message,MimeMessage,InternetAddress,,,,,
10,How do I read last n characters from a file?,SeekableByteChannel,FileChannel,ByteBuffer,StandardOpenOption,,,,,,
11,Creating MySql database programatically in Java,DriverManager,PreparedStatement,Connection,,,,,,,
12,Generating MD5 digest from File or InputStream object,DigestUtils,InputStream,FileInputStream,,,,,,,
13,How do I calculate the MD5 digest of a string?,DigestUtils,InputStream,,,,,,,,
14,How do I clone an array variable?,ArrayUtils,,,,,,,,,
15,How to implement the hashCode and equals method using Apache Commons?,HashCodeBuilder,EqualsBuilder,,,,,,,,
16,How to establish connection to database with Properties?,Properties,DriverManager,Connection,,,,,,,
17,How to monitor file or directory changes?,WatchService,Path,WatchKey,WatchEvent,StandardWatchEventKinds,,,,,
18,How do I move a file in JDK 7?,Files,CopyOption,Path,,,,,,,
285,Change color of png format image,BufferedImage,ImageIO,WritableRaster,,,,,,,
20,How to recursively list all text files in a directory?,Files,FindTextFilesVisitor,SimpleFileVisitor,WalkFileTree,BasicFileAttributes,,,,,
21,How to verify digital signature of a signed data?,X509EncodedKeySpec,KeyFactory,PublicKey,Signature,EncodedKeySpec,,,,,
22,How to create a digital signature and sign data?,Signature,PrivateKey,KeyPairGenerator,SecureRandom,KeyPair,,,,,
23,How do I generate public and private keys?,KeyPairGenerator,SecureRandom,KeyPair,PrivateKey,PublicKey,,,,,
24,How do I copy a file in JDK 7?,Path,CopyOption,StandardCopyOption,,,,,,,
25,How do I set the value of file attributes?,DosFileAttributes,Files,,,,,,,,
26,How do I set file last modified time? ,Files,FileTime,Path,,,,,,,
27,How do I reverse the order of array elements?,Collections,List,Arrays,,,,,,,
28,How do I send an Http Post request?,HttpPost,NameValuePair,UrlEncodedFormEntity,HttpClient,HttpResponse,,,,,
29,How do I get Http response body as a string?,HttpEntity,EntityUtils,HttpResponse,HttpClient,HttpGet,,,,,
30,How do I get entity ContentType in HttpClient?,HttpEntity,ContentType,HttpResponse,HttpClient,MimeType,,,,,
31,How do I execute Http Get request?,HttpGet,HttpClient,HttpResponse,InputStream,BufferedReader,,,,,
