1,How can I insert an element in array at a given position?,List,ArrayList,,,
2,How do I compress or zip a directory recursively?,ZipOutputStream,ZipEntry,,,
3,How do I decompress a GZip file in Java?,FileInputStream,FileOutputStream,GZipOutputStream,GZipInputStream,
80,how to serialize JSON Object,JsonObject,JsonWriter,StringWriter,,
5,How do I use PriorityBlockingQueue class?,PriorityBlockingQueue,BlockingQueue,Comparable,,
6,How do I parse a text string into date and time?,LocalDate,LocalTime,LocalDateTime,,
7,How documents are represented in MongoDB Java Driver?,DBObject,BasicDBObject,LinkedHashMap,,
8,How do I connect to a MongoDB Database?,MongoClient,ServerAddress,DBCollection,,
9,How do I send an HTML email?,Properties,Session,Message,MimeMessage,
10,How do I read last n characters from a file?,SeekableByteChannel,FileChannel,,,
11,Creating MySql database programatically in Java,DriverManager,PreparedStatement,Connection,,
12,Generating MD5 digest from File or InputStream object,DigestUtils,InputStream,FileInputStream,,
13,How do I calculate the MD5 digest of a string?,DigestUtils,InputStream,,,
14,How do I clone an array variable?,ArrayUtils,String,,,
15,How to implement the hashCode and equals method using Apache Commons?,HashCodeBuilder,EqualsBuilder,,,
16,How to establish connection to database with Properties?,Properties,DriverManager,Connection,,
17,How to monitor file or directory changes?,WatchService,Path,WatchKey,,
88,XML How to Remove all attributes,Document,NamedNodeMap,Transformer,,
19,How do I create and delete a file in JDK 7?,Files,Path,,,
20,How to recursively list all text files in a directory?,Files,FindTextFilesVisitor,SimpleFileVisitor,,
21,How to verify digital signature of a signed data?,X509EncodedKeySpec,KeyFactory,PublicKey,Signature,
4,How do I compress a file in GZip format?,GZipOutputStream,FileInputStream,FileOutputStream,,
23,How do I generate public and private keys?,KeyPairGenerator,SecureRandom,KeyPair,PrivateKey,
24,How do I copy a file in JDK 7?,Path,CopyOption,StandardCopyOption,,
25,How do I set the value of file attributes?,DosFileAttributes,Files,,,
26,How do I set file last modified time? ,Files,FileTime,Path,,
27,How do I reverse the order of array elements?,Collections,List,Arrays,,
28,How do I send an Http Post request?,HttpPost,NameValuePair,UrlEncodedFormEntity,,
29,How do I get Http response body as a string?,HttpEntity,EntityUtils,HttpResponse,HttpClient,
30,How do I get entity ContentType in HttpClient?,HttpEntity,ContentType,HttpResponse,,
31,How do I execute Http Get request?,DefaultHttpClient,HttpGet,HttpClient,HttpResponse,InputStream
32,How do I get the primary key of any JPA entity?,PersistenceUnitUtil,EntityManagerFactory,EntityManager,,
33,How do I delete entity object in JPA?,EntityManager,EntityManagerFactory,,,
34,How do I get all available currency codes?,CurrencySymbol,Currency,,,
35,How do I get host’s default timezone id?,TimeZone,,,,
36,How to create an XML file of a POJO using JAXB?,JAXBContext,Marshaller,File,,
37,How do I compare two dates?,SimpleDateFormat,Calendar,,,
38,How do I change date formatting symbols?,DateFormatSymbols,DateFormat,,,
39,How do I retrieve available schemas in database?,DatabaseMetaData,ResultSet,,,
40,How do I call a stored procedure that return a result set?,CallableStatement,ResultSet,,,
41,How do I convert raw IP address to String?,InetAddress,UnknownHostException,,,
42,How do I create port scanner program?,InetAddress,Socket,,,
43,How do I get MAC address of a host?,InetAddress,NetworkInterface,,,
44,How do I create a client-server socket communication?,ServerSocket,Socket,InetAddress,,
45,How do I read / download webpage content?,URL,BufferedReader,BufferedWriter,,
46,How do I get IP address of localhost?,InetAddress,UnknownHostException,,,
47,How do I get cryptographic security providers?,Provider,Set,,,
48,How do I create an encrypted string for password?,MessageDigest,StringBuilder,,,
49,How do I breaks a paragraph into sentences?,BreakIterator,,,,
50,How do I change the date format symbols for a specified locale?,Locale,SimpleDateFormat,DateFormatSymbols,,
51,How do I change number format symbols?,DecimalFormatSymbols,DecimalFormat,,,
52,How do I parse a number for a locale?,Number,Locale,NumberFormat,,
53,How do I iterate a subset of a string?,CharacterIterator,StringCharacterIterator,,,
54,How do I get attributes of element during SAX parsing?,SAXParser,SAXElementAttribute,InputStream,,
55,How do I get JDBC driver property information?,Driver,DriverPropertyInfo,Class,,
56,How do I get numeric functions supported by database?,Connection,DatabaseMetaData,,,
57,How do I get data types supported by database?,DatabaseMetaData,Connection,ResultSet,,
58,How do I execute stored procedure?,CallableStatement,DriverManager,,,
59,How do I print a file using the default registered application?,Desktop,File,,,
60,How do I turn the Num Lock button on?,Toolkit,KeyEvent,,,
61,How do I create subscript in iText?,PdfWriter,Document,Chunk,,
102,How to add attribute to an element,Document,Element,DocumentBuilder,,
63,How do I get list of files from FTP server?,FTPClient,FTPFile,,,
137,Using Java Objects in JavaScript,ScriptEngineManager,ScriptEngine,,,
65,How do I create an Excel document using Apache POI?,HSSFWorkbook,HSSFSheet,HSSFRow,HSSFCell,
66,Draw a draggable triangle in Java,TrianglePanel,Dimension,,,
67,Take a screenshot and save as image in Java,GraphicsEnvironment,GraphicsDevice,DisplayMode,Robot,ImageWriter
68,Load a Resource Bundle ,ResourceBundle,Enumeration,,,
69,Instantiate unknown class at runtime and call the object’s methods,Class,Method,,,
70,Invoke methods of an object using reflection,Class,Method,Object,,
71,List methods of a class using Reflection ,Class,Method,,,
72,Redirect Servlet Call to Another URL,HttpServletRequest,HttpServletResponse,,,
73,Get and Set Session Variables in a Servlet,HttpSession,PrintWriter,HttpServletResponse,,
74,Get Request Parameters in a Servlet ,HttpServletRequest,Enumeration,PrintWriter,,
75,Connect to a database and read from table ,Connection,Statement,ResultSet,,
76,creating in-memory lucene index,Directory,IndexWriterConfig,IndexWriter,,
77,building lucene search query,Query,QueryParser,,,
78,doing lucene search,IndexReader,IndexSearcher,TopScoreDocCollector,,
79,read JSON data to JSON Object Model,JsonReader,JsonObject,JsonArray,,
129,Connects to an rlogin daemon,RLoginClient,IOUtil,,,
81,execute the test cases using Test runner,Result,JUnitCore,Failure,,
82,Java Compare file content,File,FileInputStream,,,
83,Java Add comment in XML,Document,Element,Comment,,
84,XML How to Add CDATA data,Element,CDATASection,Document,,
85,How to Create a Shared File Lock on a File,FileChannel,FileLock,,,
86,How to Tokenize Java Source Code,FileReader,StreamTokenizer,,,
87,How to Visit All the Elements in a DOM Document,Document,NodeList,Element,,
118,Java Mail Secure POP3 Client,PasswordAuthentication,Session,Store,Folder,Message
139,Use DSA key pair to generate XML Signature,KeyPairGenerator,KeyPair,XMLSignatureFactory,XMLSignature,
90,How to Render HTML and save to Image,BufferedImage,GraphicsEnvironment,Graphics,,
91,How to Move image on screen,ImageIO,Dimension,Graphics2D,Timer,
92,How to Load font from ttf file,InputStream,Font,,,
93,How to create a server socket,ServerSocket,InetSocketAddress,,,
94,How to Sort a Map by values,Map,Comparator,HashMap,,
95,How to Store properties as XML file,Properties,FileOutputStream,,,
96,Passing Parameters from Java Code to Scripts,ScriptEngineManager,ScriptEngine,Object,,
97,How to Create thumbnail views of images,BufferedImage,ImageIO,Graphics2D,,
98,How to Capture image from webcam in java,MediaLocator,Player,Manager,,
99,Java Graphics How to Rotate Shape,AffineTransform,Rectangle,Shape,,
100,How to Load an image and write text to it,FileOutputStream,ImageIO,BufferedImage,,
101,Parsing an XML File Using SAX,SAXParserFactory,SAXParser,DefaultHandler,,
22,How to create a digital signature and sign data?,Signature,PrivateKey,KeyPairGenerator,SecureRandom,
103,How to add text node to an element,Document,Element,DocumentBuilder,,
104,How to create comments node for XML,Document,Element,Comment,,
105,How to change a specific element using XPath,Document,XPath,NodeList,Transformer,
106,How to use a StAX parser,XMLStreamReader,XMLInputFactory,XMLStreamConstants,,
107,How to serialize JSON Object,JsonObject,StringWriter,JsonWriter,,
108,Read JSON Array,JsonReader,JsonArray,JsonValue,JsonObject,
109,How to search for HTML/XML comments,Document,Jsoup,Node,,
110,How to use hashmap properties with JAXB,JAXBContext,Marshaller,XmlElement,Unmarshaller,
111,How do I create a web based file upload?,ServletFileUpload,FileItemFactory,FileItem,,
112,How to shear Shape?,AffineTransform,Rectangle,Shape,,
113,How to transform ellipse,Graphics2D,Ellipse2D,AffineTransform,,
114,How to write text onto image,BufferedImag,Graphics,ImageIO,,
115,How to change text color with CSS for Label?,Scene,Label,VBox,,
116,How to draw text content to Image?,BufferedImage,FontMetrics,ImageIO,,
117,Java Mail POP3 Client,Session,Store,Folder,Message,
62,How do I delete file from FTP server?,FTPClient,,,,
119,Get Email Header,URLName,Message,Header,Session,
120,Add Extra Page To Existing PDF,PdfReader,PdfStamper,PdfContentByte,,
121,Simple Annotations with Another PDF document,Document,PdfWriter,Annotation,,
122,Adding AWT Image to PDF with Color,PdfWriter,PdfContentByte,Image,,
18,How do I move a file in JDK 7?,Files,CopyOption,Path,,
124,Add Watermark Image to an Existing PDF File,PdfReader,PdfStamper,PdfContentByte,Image,
125,Adding Bookmarks for PDF document,PdfWriter,PdfOutline,PdfDestination,,
126,Copy and paste data with the clipboard,Clipboard,TextTransfer,FormData,,
127,Connect with a Web server,InetAddress,Socket,,,
128,Connects to an rshell daemon,RCommandClient,IOUtil,,,
146,Generate a DSA signature,KeyPairGenerator,KeyPair,Signature,,
130,POSTing data to an HTTP server,URLConnection,DataOutputStream,DataInputStream,,
131,Get session from request,HttpSession,PrintWriter,HttpServletRequest,,
132,Adding Drop Shadow to a Shape,DropShadow,Shape,Ellipse,Scene,
133,Uses serialization to perform deep copy cloning.,Cloneable,Serializable,ObjectOutputStream,,
134,Execute Javascript script in a file,ScriptEngine,FileReader,,,
135,Listing All Script Engines,ScriptEngineManage,ScriptEngineFactory,List,,
136,Pass parameter to JavaScript through Java code,ScriptEngineManager,ScriptEngine,ScriptException,,
64,How do I upload file to FTP server?,FTPClient,FileInputStream,,,
138,Read and execute a script source file,InputStreamReader,FileInputStream,ScriptEngineManager,ScriptEngine,
89,XML How to Fetch data from the Web,Document,Jsoup,Elements,,
140,Determining operating system support for attribute views,Paths,Path,FileSystem,,
141,Change label border with CSS (Smart GWT),HLayout,VLayout,Canvas,BlueBox,
142,Servlet: Session bind listener,HttpSession,HttpSessionBindingListener,,,
143,Basic Authentication For JSP Page,HttpClient,Credentials,AuthScope,HttpState,
144,Checking Read/Write Permission for a Directory,AccessController,FilePermission,,,
145,Listing All Permissions Granted to a Loaded Class,ProtectionDomain,PermissionCollection,Permission,,
123,Adding Paragraph to a PDF Page,PdfWriter,Document,Paragraph,,
147,Signing a Java Object,KeyPairGenerator,KeyPair,Signature,SignedObject,
148,Generating a Message Authentication Code (MAC),KeyGenerator,SecretKey,Mac,,
149,Execute a command from code,Process,Runtime,,,
150,Simulate a mouse click,Robot,InputEvent,,,
