    ,query                                                                         ,api
0   ,How do I format a number in Java                                              ,"IOException,FileInputStream,FileOutputStream,DecimalFormatSymbols,Number,FileWriter,DecimalFormat,MessageFormat,Locale,ParseException,NumberFormat,GZipOutputStream,Scanner,FileReader"
1   ,How do I clone a generic List in Java                                         ,ArrayUtils
2   ,How do you compare two version Strings in Java                                ,"File,DateFormat,Date,FileInputStream,Calendar,SimpleDateFormat"
3   ,How do I count the number of occurrences of a char in a String                ,"Matcher,CharacterIterator,Pattern,StringCharacterIterator"
4   ,How do I get the last character of a string                                   ,"StringBuilder,CharacterIterator,SeekableByteChannel,MessageDigest,StandardOpenOption,FileChannel,StringCharacterIterator,ByteBuffer"
5   ,Executing Shell script from Java code                                         ,"Runtime,ScriptEngineFactory,ScriptEngineManager,Process"
6   ,Generating 10 digits unique random number in java                             ,"IntStream,DigestUtils,InputStream,FileInputStream,SecureRandom"
7   ,Load a resource in Jar                                                        ,"Enumeration,ResourceBundle"
8   ,How do I convert a String to an int in Java                                   ,"DateFormat,Date,BufferedReader,BufferedWriter,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat"
9   ,How can I convert a String to a char array                                    ,"DateFormat,Date,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat"
10  ,How can I parse the string to Double                                          ,"DateFormat,Date,LocalDateTime,DateTimeFormatter,LocalDate,Calendar,LocalTime,SimpleDateFormat"
11  ,Running a Command Prompt from a Java program in Windows                       ,"Runtime,Process"
12  ,How do I remove a character from a String                                     ,"FileChannel,StringCharacterIterator,Document,CharacterIterator,NamedNodeMap,SeekableByteChannel,StandardOpenOption,File,DocumentBuilderFactory,Element,ByteBuffer"
13  ,How can I iterate over a string in Java                                       ,"StringCharacterIterator,CharacterIterator"
14  ,Get all methods of an Interface or Abstract class using Reflection            ,"Class,Method"
15  ,convert timestamp to date                                                     ,"DateFormat,Date,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat,TimeZone"
16  ,Executing a Command from Java and Waiting for the Command to Finish           ,"Runtime,Process"
17  ,Java Byte Array to String to Byte Array                                       ,"Deflater,ByteArrayOutputStream,FileInputStream,DeflaterOutputStream,FileOutputStream"
18  ,Generate random numbers in increments                                         ,"IntStream,SecureRandom"
19  ,Generate Random Number in 2D Array                                            ,"IntStream,SecureRandom"
20  ,How can I calculate the SHA-256 hash of a string in Android                   ,"DigestUtils,Period,InputStream,LocalDate,ChronoUnit"
21  ,Generate Random Integer from Min to Max                                       ,"IntStream,SecureRandom"
22  ,How can I convert string to double                                            ,"DateFormat,Date,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat"
23  ,How do I get generate an IP address range given start and end IP address      ,"InetAddress,UnknownHostException"
24  ,Connecting MS SQL database to a Java program                                  ,"DriverManager,ResultSet,Connection,Statement,PreparedStatement"
25  ,Converting Calendar date to string                                            ,"DateFormat,Date,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat,TimeZone"
26  ,Generate random numbers between two numbers                                   ,"IntStream,SecureRandom"
27  ,How do I calculate the difference of two angle measures                       ,"Period,LocalDate,ChronoUnit"
28  ,How to check if a string is a number                                          ,"FileSystem,DateFormat,FileSystemProvider,SimpleDateFormat"
29  ,Implementing the equals method in java                                        ,"EqualsBuilder,HashCodeBuilder"
30  ,How can I check each character in a character array                           ,"StringCharacterIterator,CharacterIterator,FileSystem,FileSystemProvider"
31  ,Load all images from folder in Android                                        ,"Dimension,BufferedImage,SwingUtilities,ImageIO,JFrame"
32  ,How can I find the number of years between two dates                          ,"DateFormat,Date,Period,LocalDate,Calendar,Instant,ChronoUnit,SimpleDateFormat,Duration,LocalDateTime,LocalTime"
33  ,How can I format a number to the fixed locale                                 ,"Number,Locale,ParseException,NumberFormat"
34  ,append a char to a JTextArea                                                  ,"BufferedOutputStream,FileOutputStream,PrintStream,File"
35  ,How can I convert double to string in Java ME                                 ,"DateFormat,Date,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat"
36  ,Byte array in java                                                            ,"Deflater,ByteArrayOutputStream,FileInputStream,DeflaterOutputStream,FileOutputStream"
37  ,How to convert a char to a String                                             ,"DateFormat,Date,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat"
38  ,Print String as Bytes                                                         ,"DataInputStream,ByteArrayOutputStream"
39  ,How to read properties from xml file with java                                ,"FileOutputStream,Properties"
40  ,How do you use math.random to generate random ints                            ,"IntStream,SecureRandom"
41  ,Find angle of a point from center of circle                                   ,"FontMetrics,Graphics2D,Dimension,Graphics,BorderLayout,JFrame"
42  ,Generating a random double number of a certain range in Java                  ,"IntStream,DigestUtils,InputStream,FileInputStream,SecureRandom"
43  ,Format a string which contains numbers                                        ,"MessageFormat,Locale"
44  ,How can I read comments from a Zip file                                       ,"Document,ZipEntry,ZipFile,Enumeration,Comment,Element"
45  ,Convert String from a XML to Java Code                                        ,"JAXBException,JAXBContext,Marshaller,File"
46  ,How to convert string to long                                                 ,"DateFormat,Date,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat"
47  ,How to run a mvn command from a java program                                  ,"Runtime,Process"
48  ,firing a command in terminal from java program                                ,"Runtime,Process"
49  ,How do I count the number of words in a text using regex                      ,"Matcher,Pattern"
50  ,How do I count the number of words in a string                                ,"Matcher,CharacterIterator,Pattern,StringCharacterIterator"
51  ,How do I convert a number to a letter in Java                                 ,"DateFormat,Date,DateTimeFormatter,LocalDate,Number,Calendar,SimpleDateFormat,DecimalFormat,Locale,ParseException,NumberFormat"
52  ,How can I convert string to double in Java Servlet                            ,"DateFormat,Date,DateTimeFormatter,LocalDate,HttpSessionBindingListener,Calendar,SimpleDateFormat,HttpSession"
53  ,How to run linux command from java code                                       ,"Runtime,Process"
